Company,Value
Company A,0.3552
Company A,0.3967
Company A,0.3868
Company A,0.3964
Company A,0.4011
Company A,0.3984
Company A,0.3597
Company A,0.3713
Company A,0.3993
Company A,0.4297
Company A,0.3829
Company A,0.4272
Company A,0.4157
Company A,0.3532
Company A,0.4144
Company A,0.3688
Company A,0.3829
Company A,0.3555
Company A,0.3696
Company A,0.3888
Company A,0.3744
Company A,0.3686
Company A,0.4357
Company A,0.3972
Company A,0.4065
Company A,0.3786
Company A,0.4101
Company A,0.3926
Company A,0.3726
Company A,0.3831
Company A,0.3864
Company A,0.4138
Company A,0.3819
Company A,0.373
Company A,0.3594
Company A,0.3583
Company A,0.4008
Company A,0.426
Company A,0.407
Company A,0.3962
Company A,0.3619
Company A,0.3882
Company A,0.4132
Company A,0.362
Company A,0.3814
Company A,0.3953
Company A,0.3878
Company A,0.4118
Company A,0.4272
Company A,0.3696
Company A,0.3965
Company A,0.374
Company A,0.4002
Company A,0.399
Company A,0.3469
Company A,0.3783
Company A,0.3931
Company A,0.3743
Company A,0.3629
Company A,0.3804
Company A,0.3859
Company A,0.382
Company A,0.3918
Company A,0.3802
Company A,0.3935
Company A,0.3732
Company A,0.3899
Company A,0.3495
Company A,0.3979
Company A,0.4037
Company A,0.3876
Company A,0.408
Company A,0.3602
Company A,0.3361
Company A,0.3513
Company A,0.3886
Company A,0.3916
Company A,0.3606
Company A,0.3599
Company A,0.4155
Company A,0.3602
Company A,0.4044
Company A,0.4124
Company A,0.3916
Company A,0.4314
Company A,0.4078
Company A,0.3772
Company A,0.4048
Company A,0.3931
Company A,0.3852
Company A,0.4166
Company A,0.347
Company A,0.416
Company A,0.3983
Company A,0.3867
Company A,0.3943
Company A,0.3782
Company A,0.3474
Company A,0.3789
Company A,0.3909
Company A,0.3616
Company A,0.3753
Company A,0.3531
Company A,0.3634
Company A,0.3879
Company A,0.3802
Company A,0.3829
Company A,0.3911
Company A,0.4075
Company A,0.3784
Company A,0.4131
Company A,0.373
Company A,0.3724
Company A,0.3541
Company A,0.3193
Company A,0.3817
Company A,0.4037
Company A,0.389
Company A,0.4108
Company A,0.3989
Company A,0.3869
Company A,0.3496
Company A,0.4036
Company A,0.3715
Company A,0.3595
Company A,0.4083
Company A,0.3715
Company A,0.3895
Company A,0.4052
Company A,0.3938
Company A,0.4295
Company A,0.3878
Company A,0.3829
Company A,0.4399
Company A,0.3877
Company A,0.3823
Company A,0.3431
Company A,0.4037
Company A,0.4061
Company A,0.3584
Company A,0.3659
Company A,0.3644
Company A,0.3645
Company A,0.3785
Company A,0.3796
Company A,0.3801
Company A,0.3941
Company A,0.3967
Company A,0.3907
Company A,0.3751
Company A,0.399
Company A,0.4075
Company A,0.4165
Company A,0.3752
Company A,0.3851
Company A,0.3917
Company A,0.3757
Company A,0.3852
Company A,0.3742
Company A,0.3895
Company A,0.3748
Company A,0.388
Company A,0.3999
Company A,0.3648
Company A,0.3788
Company A,0.3721
Company A,0.4015
Company A,0.3826
Company A,0.3904
Company A,0.3905
Company A,0.405
Company A,0.3627
Company A,0.3989
Company A,0.3797
Company A,0.3979
Company A,0.3586
Company A,0.4012
Company A,0.3488
Company A,0.4059
Company A,0.3807
Company A,0.4124
Company A,0.4128
Company A,0.4176
Company A,0.3769
Company A,0.4272
Company A,0.4083
Company A,0.388
Company A,0.3817
Company A,0.392
Company A,0.3513
Company A,0.371
Company A,0.3409
Company A,0.3561
Company A,0.3953
Company A,0.3628
Company A,0.4024
Company A,0.3852
Company A,0.4018
Company A,0.3654
Company A,0.4049
Company A,0.4008
Company A,0.3791
Company A,0.4271
Company A,0.3935
Company A,0.4116
Company A,0.3779
Company A,0.3902
Company A,0.3562
Company A,0.3998
Company A,0.3922
Company A,0.4144
Company A,0.3781
Company A,0.3917
Company A,0.3776
Company A,0.3771
Company A,0.4224
Company A,0.3747
Company A,0.3959
Company A,0.3955
Company A,0.3753
Company A,0.3789
Company A,0.3717
Company A,0.3533
Company A,0.387
Company A,0.3898
Company A,0.3526
Company A,0.3927
Company A,0.3809
Company A,0.3693
Company A,0.3715
Company A,0.3873
Company A,0.3847
Company A,0.3509
Company A,0.3604
Company A,0.3943
Company A,0.3742
Company A,0.3548
Company A,0.4055
Company A,0.3874
Company A,0.3978
Company A,0.3713
Company A,0.4109
Company A,0.3784
Company A,0.4008
Company A,0.4152
Company A,0.365
Company A,0.3968
Company A,0.3833
Company A,0.4111
Company A,0.3776
Company A,0.3812
Company A,0.3446
Company A,0.3796
Company A,0.3813
Company A,0.3462
Company A,0.3527
Company A,0.3721
Company A,0.4013
Company A,0.3657
Company A,0.396
Company A,0.4008
Company A,0.3767
Company A,0.4314
Company A,0.3956
Company A,0.3703
Company A,0.3983
Company A,0.4273
Company A,0.3983
Company A,0.3473
Company A,0.3853
Company A,0.3785
Company A,0.3768
Company A,0.4086
Company A,0.3523
Company A,0.3835
Company A,0.384
Company A,0.409
Company A,0.4047
Company A,0.3513
Company A,0.3841
Company A,0.355
Company A,0.4015
Company A,0.3887
Company A,0.4004
Company A,0.387
Company A,0.3991
Company A,0.3764
Company A,0.4134
Company A,0.4124
Company A,0.3896
Company A,0.3518
Company A,0.4058
Company A,0.3755
Company A,0.3755
Company A,0.4009
Company A,0.3786
Company A,0.398
Company A,0.378
Company A,0.3837
Company A,0.3859
Company A,0.3854
Company A,0.3678
Company A,0.3871
Company A,0.3985
Company A,0.4212
Company A,0.3342
Company A,0.3755
Company A,0.39
Company A,0.3859
Company A,0.3674
Company A,0.386
Company A,0.3749
Company A,0.4033
Company A,0.3502
Company A,0.3536
Company A,0.372
Company A,0.3803
Company A,0.4117
Company A,0.3731
Company A,0.3863
Company A,0.4154
Company A,0.3636
Company A,0.4203
Company A,0.3591
Company A,0.4164
Company A,0.3941
Company A,0.3813
Company A,0.378
Company A,0.3695
Company A,0.3762
Company A,0.3721
Company A,0.3702
Company A,0.411
Company A,0.3916
Company A,0.3733
Company A,0.3673
Company A,0.3679
Company A,0.3634
Company A,0.417
Company A,0.3842
Company A,0.3746
Company A,0.3829
Company A,0.4155
Company A,0.3718
Company A,0.3769
Company A,0.3695
Company A,0.3781
Company A,0.3891
Company A,0.4155
Company A,0.3594
Company A,0.4199
Company A,0.3627
Company A,0.4073
Company A,0.3915
Company A,0.3815
Company A,0.386
Company A,0.3934
Company A,0.3751
Company A,0.3893
Company A,0.4024
Company A,0.392
Company A,0.3838
Company A,0.4144
Company A,0.3997
Company A,0.3733
Company A,0.38
Company A,0.3365
Company A,0.408
Company A,0.3988
Company A,0.3573
Company A,0.3747
Company A,0.3661
Company A,0.3743
Company A,0.3824
Company A,0.4125
Company A,0.3736
Company A,0.3952
Company A,0.3755
Company A,0.417
Company A,0.3954
Company A,0.3816
Company A,0.3833
Company A,0.3584
Company A,0.4128
Company A,0.4143
Company A,0.3738
Company A,0.3869
Company A,0.3657
Company A,0.392
Company A,0.3881
Company A,0.3986
Company A,0.3512
Company A,0.3855
Company A,0.3876
Company A,0.384
Company A,0.3855
Company A,0.4062
Company A,0.3994
Company A,0.3796
Company A,0.356
Company A,0.3855
Company A,0.3848
Company A,0.4166
Company A,0.387
Company A,0.3882
Company A,0.398
Company A,0.3811
Company A,0.4181
Company A,0.367
Company A,0.4141
Company A,0.3735
Company A,0.3718
Company A,0.3852
Company A,0.3573
Company A,0.367
Company A,0.3703
Company A,0.395
Company A,0.3955
Company A,0.4024
Company A,0.4072
Company A,0.4009
